,part-number,name,properties,img
0,448-5680, BP115C ,"{'Width': '80.2 in', 'Capacity': '0.63 yd³', 'Weight': '630.5 lb', 'Height': '16.8 in', 'Length': '27.9 in', 'Base Edge Thickness': '0.7 in', 'Cutting Edge Thickness': '0.6 in', 'Interface Type': 'Skid Steer Coupler'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20160119-47017-57566?fit=fit%2C1&fmt=webp&hei=384&wid=384
1,448-5680, BP115C ,"{'Working Width': '600 mm (23.6 in) - 800 mm (31.4 in)', 'Maximum Cutting Depth': '6.7 in', 'Required Hydraulics': 'High Flow', 'Overall Width': '73.1 in', 'Overall Length': '49.1 in', 'Overall Height': '36.6 in', 'Weight': '2107.6 lb', 'Optimal Hydraulic Flow': '98-125 L/min (26-33 gpm)', 'Optimal Hydraulic Pressure': '230-280 bar (3300-4000 psi)', 'Drum Speed': '149 rpm', 'Optional Drum Widths/Depths': '80/200, 150/200, 300/200, 450/200, 600/170 mm (3/8, 6/8, 12/8, 18/8, 24/7 in)', 'Tilt Angle Range': '8° Left/Right', 'Side Shift Travel': '29.5 in', 'Conical Bits': '54', 'Standard Bit Type': 'All Purpose', 'Maximum Cut Depth': '160 mm (2.6 in) - 200 mm (7.8 in)', 'Compatibility': 'Compact Wheel Loaders,Skid Steer Loaders,Compact Track Loaders'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20200602-aeb29-b40e8?fit=fit%2C1&fmt=webp&hei=384&wid=384
2,448-5680, BP115C ,"{'Width': '74.1 in', 'Capacity': '0.58 yd³', 'Weight': '597.5 lb', 'Height': '16.8 in', 'Length': '27.9 in', 'Base Edge Thickness': '0.7 in', 'Cutting Edge Thickness': '0.6 in', 'Interface Type': 'Skid Steer Coupler'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20160119-44397-62118?fit=fit%2C1&fmt=webp&hei=384&wid=384
3,448-5680, BP115C ,"{'Height': '36.8 in', 'Width': '45.8 in', 'Weight': '211.6 lb', 'Tine Length': '48 in', 'Tine Width': '3.9 in', 'Tine Height': '21.3 in', 'Tine Thickness': '1.6 in', 'Tine Weight': '105.8 lb', 'Group Weight': '430 lb', 'Operating Weight': '429.9 lb', 'Overall Length': '58.3 in', 'Interface Type': 'Skid Steer Coupler'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20131107-43752-15379?fit=fit%2C1&fmt=webp&hei=384&wid=384
4,448-5680, BP115C ,"{'Maximum Cutting Depth': '23.6 in', 'Wheel Width': '7.9 in', 'Weight': '2921.1 lb', 'Overall Width': '65.2 in', 'Overall Height': '69.5 in', 'Length': '95.2 in', 'Required Hydraulics': 'High Flow XPS', 'Optimal Hydraulic Flow': '98-125 L/min (26-33 gpm)', 'Optimal Hydraulic Pressure': '230-280 bar (3300-4000 psi)', 'Motor Displacement': '102.9 in³/rev', 'Wheel Torque at Maximum Pressure': '5538.4 lb/ft', 'Wheel Speed at Maximum Flow': '74 RPM', 'Bit Speed at Maximum Flow': '1181.1 ft/min', 'Conical Bits - Per Wheel': '96', 'Standard Bit Type': 'Concrete', 'Optional Bit Type': 'All Purpose', 'Side Shift Travel': '21.7 in', 'Trench Cleaning Device': 'Yes', 'Drive Method': 'Direct Drive', 'Interface Type': 'Skid Steer Coupler', 'Max Depth of Cut': '< 20 in |< 508 mm', 'Required Hydraulic Flow Range': '125 L/min (33 gpm)'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20210127-347b3-0b490?fit=fit%2C1&fmt=webp&hei=384&wid=384
5,448-5680, BP115C ,"{'Operating Weight - With Tool': '758.4 lb', 'Energy Class': '848.2 ft·lbf', 'Machine Class': '6-9 Ton Mini Excavators, 216-299 Skid Steer/Compact Track Loaders, 415-444 Backhoe Loaders', 'Tool Shaft Diameter': '3 in', 'Impact Frequency': '400-800 bpm', 'Minimum Operating Pressure': '1704.1 psi', 'Minimum Carrier Weight': '13999.3 lb', 'Optimal Hydraulic Flow': '50-90 lpm (13.2-23.8 gpm)', 'Overall Width': '12.4 in', 'Overall Length': '17.3 in', 'Overall Height': '55.2 in', 'Height - Without Tool': '41.1 in', 'Sound Level': '129 dB', 'Mounting Bracket Size': 'Large', 'Sound Suppression': 'Silenced', 'Compatibility': 'Excavators,Skid Steer Loaders,Compact Track Loaders,Backhoe Loaders'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20190111-19856-46682?fit=fit%2C1&fmt=webp&hei=384&wid=384
6,448-5680, BP115C ,"{'Operating Weight - With Tool': '610.7 lb', 'Energy Class': '501.5 ft·lbf', 'Machine Class': '4-9 Ton Mini Excavators, 216-299 Skid Steer/Compact Track Loaders, 415-444 Backhoe Loaders', 'Tool Shaft Diameter': '2.7 in', 'Impact Frequency': '500-900 bpm', 'Minimum Operating Pressure': '1775 psi', 'Minimum Carrier Weight': '8000.6 lb', 'Optimal Hydraulic Flow': '40-70 lpm (10.6-18.5 gpm)', 'Overall Width': '12.4 in', 'Overall Length': '17.3 in', 'Overall Height': '53.9 in', 'Height - Without Tool': '39.1 in', 'Sound Level': '124 dB', 'Mounting Bracket Size': 'Large', 'Sound Suppression': 'Silenced', 'Compatibility': 'Excavators,Skid Steer Loaders,Backhoe Loaders,Compact Track Loaders'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20180306-36800-10227?fit=fit%2C1&fmt=webp&hei=384&wid=384
7,448-5680, BP115C ,"{'Width': '24.4 in', 'Capacity': '4.6 ft³', 'Weight': '233.7 lb', 'Base Edge Thickness': '0.8 in', 'Tip Radius': '30.9 in', 'Interface Type': 'Pin On'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20160628-52702-49940?fit=fit%2C1&fmt=webp&hei=384&wid=384
8,448-5680, BP115C ,"{'Working Width': '300 mm (11.8 in) - 500 mm (19.6 in)', 'Maximum Cutting Depth': '5.9 in', 'Required Hydraulics': 'Standard Flow', 'Overall Width': '68 in', 'Overall Length': '44 in', 'Overall Height': '37 in', 'Weight': '1503.6 lb', 'Optimal Hydraulic Flow': '60-80 L/min (16-22 gpm)', 'Optimal Hydraulic Pressure': '210-230 bar (3050-3300 psi)', 'Drum Speed': '181 rpm', 'Optional Drum Widths/Depths': '400/150 mm (16/6 in)', 'Tilt Angle Range': '8.5° Left/Right', 'Side Shift Travel': '25.6 in', 'Conical Bits': '36', 'Standard Bit Type': 'All Purpose', 'Maximum Cut Depth': '100 mm (3.9 in) - 150 mm (5.9 in)', 'Compatibility': 'Compact Track Loaders,Skid Steer Loaders,Compact Wheel Loaders'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20200618-20a67-986f4?fit=fit%2C1&fmt=webp&hei=384&wid=384
9,448-5680, BP115C ,"{'Width': '47.2 in', 'Capacity': '9.2 ft³', 'Weight': '410.5 lb', 'Base Edge Thickness': '0.8 in', 'Tip Radius': '28.2 in', 'Interface Type': 'Pin On'}",https://caterpillar.scene7.com/is/image/Caterpillar/CM20150819-48197-23946?fit=fit%2C1&fmt=webp&hei=384&wid=384
